tableName,columnName,description
DP_ShippingDelays,dpID,Columna dpID en tabla DP_ShippingDelays
DP_ShippingDelays,uuid,Columna uuid en tabla DP_ShippingDelays
DP_ShippingDelays,orderID,Columna orderID en tabla DP_ShippingDelays
DP_ShippingDelays,customerID,Columna customerID en tabla DP_ShippingDelays
DP_ShippingDelays,orderDate,Columna orderDate en tabla DP_ShippingDelays
DP_ShippingDelays,requiredDate,Columna requiredDate en tabla DP_ShippingDelays
DP_ShippingDelays,shippedDate,Columna shippedDate en tabla DP_ShippingDelays
DP_ShippingDelays,deliveryDelayDays,Columna deliveryDelayDays en tabla DP_ShippingDelays
DP_SalesByProductMonth,dpID,Columna dpID en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,uuid,Columna uuid en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,productName,Columna productName en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,category,Columna category en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,countryOrigin,Columna countryOrigin en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,countryDestiny,Columna countryDestiny en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,year,Columna year en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,month,Columna month en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,totalUnitsSold,Columna totalUnitsSold en tabla DP_SalesByProductMonth
DP_SalesByProductMonth,totalRevenue,Columna totalRevenue en tabla DP_SalesByProductMonth
DP_TopCustomersByRevenue,dpID,Columna dpID en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,uuid,Columna uuid en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,customerID,Columna customerID en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,companyName,Columna companyName en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,country,Columna country en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,countryGasolinePrice,Columna countryGasolinePrice en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,countryGDP,Columna countryGDP en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,countryPopulation,Columna countryPopulation en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,year,Columna year en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,totalRevenue,Columna totalRevenue en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,totalOrders,Columna totalOrders en tabla DP_TopCustomersByRevenue
DP_TopCustomersByRevenue,rank,Columna rank en tabla DP_TopCustomersByRevenue
DP_EmployeePerformance,dpID,Columna dpID en tabla DP_EmployeePerformance
DP_EmployeePerformance,uuid,Columna uuid en tabla DP_EmployeePerformance
DP_EmployeePerformance,employeeID,Columna employeeID en tabla DP_EmployeePerformance
DP_EmployeePerformance,fullName,Columna fullName en tabla DP_EmployeePerformance
DP_EmployeePerformance,year,Columna year en tabla DP_EmployeePerformance
DP_EmployeePerformance,totalOrders,Columna totalOrders en tabla DP_EmployeePerformance
DP_EmployeePerformance,totalRevenue,Columna totalRevenue en tabla DP_EmployeePerformance
DP_ProductReturns,dpID,Columna dpID en tabla DP_ProductReturns
DP_ProductReturns,uuid,Columna uuid en tabla DP_ProductReturns
DP_ProductReturns,productID,Columna productID en tabla DP_ProductReturns
DP_ProductReturns,productName,Columna productName en tabla DP_ProductReturns
DP_ProductReturns,returnReason,Columna returnReason en tabla DP_ProductReturns
DP_ProductReturns,supplier,Columna supplier en tabla DP_ProductReturns
DP_ProductReturns,countryOrigin,Columna countryOrigin en tabla DP_ProductReturns
DP_ProductReturns,categoryName,Columna categoryName en tabla DP_ProductReturns
DP_ProductReturns,year,Columna year en tabla DP_ProductReturns
DP_ProductReturns,returnCount,Columna returnCount en tabla DP_ProductReturns
DP_ProductReturns,totalLostRevenue,Columna totalLostRevenue en tabla DP_ProductReturns
