tableName,columnName,description
DWA_Customers,customerKey,Columna customerKey en tabla DWA_Customers
DWA_Customers,customerID,Columna customerID en tabla DWA_Customers
DWA_Customers,companyName,Columna companyName en tabla DWA_Customers
DWA_Customers,contactName,Columna contactName en tabla DWA_Customers
DWA_Customers,contactTitle,Columna contactTitle en tabla DWA_Customers
DWA_Customers,address,Columna address en tabla DWA_Customers
DWA_Customers,city,Columna city en tabla DWA_Customers
DWA_Customers,postalCode,Columna postalCode en tabla DWA_Customers
DWA_Customers,country,Columna country en tabla DWA_Customers
DWA_Customers,phone,Columna phone en tabla DWA_Customers
DWA_Customers,fax,Columna fax en tabla DWA_Customers
DWA_Customers,uuid,Columna uuid en tabla DWA_Customers
DWA_Employees,employeeKey,Columna employeeKey en tabla DWA_Employees
DWA_Employees,employeeID,Columna employeeID en tabla DWA_Employees
DWA_Employees,fullName,Columna fullName en tabla DWA_Employees
DWA_Employees,title,Columna title en tabla DWA_Employees
DWA_Employees,birthDate,Columna birthDate en tabla DWA_Employees
DWA_Employees,hireDate,Columna hireDate en tabla DWA_Employees
DWA_Employees,city,Columna city en tabla DWA_Employees
DWA_Employees,country,Columna country en tabla DWA_Employees
DWA_Employees,territory,Columna territory en tabla DWA_Employees
DWA_Employees,region,Columna region en tabla DWA_Employees
DWA_Employees,notes,Columna notes en tabla DWA_Employees
DWA_Employees,photoPath,Columna photoPath en tabla DWA_Employees
DWA_Employees,uuid,Columna uuid en tabla DWA_Employees
DWA_Products,productKey,Columna productKey en tabla DWA_Products
DWA_Products,productID,Columna productID en tabla DWA_Products
DWA_Products,productName,Columna productName en tabla DWA_Products
DWA_Products,supplier,Columna supplier en tabla DWA_Products
DWA_Products,countryOrigin,Columna countryOrigin en tabla DWA_Products
DWA_Products,categoryName,Columna categoryName en tabla DWA_Products
DWA_Products,quantityPerUnit,Columna quantityPerUnit en tabla DWA_Products
DWA_Products,unitPrice,Columna unitPrice en tabla DWA_Products
DWA_Products,unitsInStock,Columna unitsInStock en tabla DWA_Products
DWA_Products,unitsOnOrder,Columna unitsOnOrder en tabla DWA_Products
DWA_Products,reorderLevel,Columna reorderLevel en tabla DWA_Products
DWA_Products,discontinued,Columna discontinued en tabla DWA_Products
DWA_Products,uuid,Columna uuid en tabla DWA_Products
DWA_Time,timeKey,Columna timeKey en tabla DWA_Time
DWA_Time,date,Columna date en tabla DWA_Time
DWA_Time,year,Columna year en tabla DWA_Time
DWA_Time,quarter,Columna quarter en tabla DWA_Time
DWA_Time,month,Columna month en tabla DWA_Time
DWA_Time,monthName,Columna monthName en tabla DWA_Time
DWA_Time,day,Columna day en tabla DWA_Time
DWA_Time,dayOfWeek,Columna dayOfWeek en tabla DWA_Time
DWA_Time,weekOfYear,Columna weekOfYear en tabla DWA_Time
DWA_Time,isWeekend,Columna isWeekend en tabla DWA_Time
DWA_WorldData2023,Country,Columna Country en tabla DWA_WorldData2023
DWA_WorldData2023,Density_PKm2,Columna Density_PKm2 en tabla DWA_WorldData2023
DWA_WorldData2023,Abbreviation,Columna Abbreviation en tabla DWA_WorldData2023
DWA_WorldData2023,Agricultural_Land_PCT,Columna Agricultural_Land_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Land_Area_Km2,Columna Land_Area_Km2 en tabla DWA_WorldData2023
DWA_WorldData2023,Armed_Forces_Size,Columna Armed_Forces_Size en tabla DWA_WorldData2023
DWA_WorldData2023,Birth_Rate,Columna Birth_Rate en tabla DWA_WorldData2023
DWA_WorldData2023,Calling_Code,Columna Calling_Code en tabla DWA_WorldData2023
DWA_WorldData2023,Capital_Major_City,Columna Capital_Major_City en tabla DWA_WorldData2023
DWA_WorldData2023,Co2_Emissions,Columna Co2_Emissions en tabla DWA_WorldData2023
DWA_WorldData2023,CPI,Columna CPI en tabla DWA_WorldData2023
DWA_WorldData2023,CPI_Change_PCT,Columna CPI_Change_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Currency_Code,Columna Currency_Code en tabla DWA_WorldData2023
DWA_WorldData2023,Fertility_Rate,Columna Fertility_Rate en tabla DWA_WorldData2023
DWA_WorldData2023,Forested_Area_PCT,Columna Forested_Area_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Gasoline_Price,Columna Gasoline_Price en tabla DWA_WorldData2023
DWA_WorldData2023,GDP,Columna GDP en tabla DWA_WorldData2023
DWA_WorldData2023,Primary_Education_Enrollment_PCT,Columna Primary_Education_Enrollment_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Tertiary_Education_Enrollment_PCT,Columna Tertiary_Education_Enrollment_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Infant_Mortality,Columna Infant_Mortality en tabla DWA_WorldData2023
DWA_WorldData2023,Largest_City,Columna Largest_City en tabla DWA_WorldData2023
DWA_WorldData2023,Life_Expectancy,Columna Life_Expectancy en tabla DWA_WorldData2023
DWA_WorldData2023,Maternal_Mortality_Ratio,Columna Maternal_Mortality_Ratio en tabla DWA_WorldData2023
DWA_WorldData2023,Minimum_Wage,Columna Minimum_Wage en tabla DWA_WorldData2023
DWA_WorldData2023,Official_Language,Columna Official_Language en tabla DWA_WorldData2023
DWA_WorldData2023,Out_of_Pocket_Health_Expenditure,Columna Out_of_Pocket_Health_Expenditure en tabla DWA_WorldData2023
DWA_WorldData2023,Physicians_per_Thousand,Columna Physicians_per_Thousand en tabla DWA_WorldData2023
DWA_WorldData2023,Population,Columna Population en tabla DWA_WorldData2023
DWA_WorldData2023,Labor_Force_Participation_PCT,Columna Labor_Force_Participation_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Tax_Revenue_PCT,Columna Tax_Revenue_PCT en tabla DWA_WorldData2023
DWA_WorldData2023,Total_Tax_Rate,Columna Total_Tax_Rate en tabla DWA_WorldData2023
DWA_WorldData2023,Unemployment_Rate,Columna Unemployment_Rate en tabla DWA_WorldData2023
DWA_WorldData2023,Urban_Population,Columna Urban_Population en tabla DWA_WorldData2023
DWA_WorldData2023,Latitude,Columna Latitude en tabla DWA_WorldData2023
DWA_WorldData2023,Longitude,Columna Longitude en tabla DWA_WorldData2023
DWA_SalesFact,salesKey,Columna salesKey en tabla DWA_SalesFact
DWA_SalesFact,orderID,Columna orderID en tabla DWA_SalesFact
DWA_SalesFact,productKey,Columna productKey en tabla DWA_SalesFact
DWA_SalesFact,customerKey,Columna customerKey en tabla DWA_SalesFact
DWA_SalesFact,employeeKey,Columna employeeKey en tabla DWA_SalesFact
DWA_SalesFact,territory,Columna territory en tabla DWA_SalesFact
DWA_SalesFact,orderDateKey,Columna orderDateKey en tabla DWA_SalesFact
DWA_SalesFact,quantity,Columna quantity en tabla DWA_SalesFact
DWA_SalesFact,unitPrice,Columna unitPrice en tabla DWA_SalesFact
DWA_SalesFact,discount,Columna discount en tabla DWA_SalesFact
DWA_SalesFact,freight,Columna freight en tabla DWA_SalesFact
DWA_SalesFact,totalAmount,Columna totalAmount en tabla DWA_SalesFact
