tableName,columnName,description
DWM_Customers,customerSCDKey,Columna customerSCDKey en tabla DWM_Customers
DWM_Customers,customerID,Columna customerID en tabla DWM_Customers
DWM_Customers,companyName,Columna companyName en tabla DWM_Customers
DWM_Customers,contactName,Columna contactName en tabla DWM_Customers
DWM_Customers,contactTitle,Columna contactTitle en tabla DWM_Customers
DWM_Customers,address,Columna address en tabla DWM_Customers
DWM_Customers,city,Columna city en tabla DWM_Customers
DWM_Customers,postalCode,Columna postalCode en tabla DWM_Customers
DWM_Customers,country,Columna country en tabla DWM_Customers
DWM_Customers,phone,Columna phone en tabla DWM_Customers
DWM_Customers,fax,Columna fax en tabla DWM_Customers
DWM_Customers,uuid,Columna uuid en tabla DWM_Customers
DWM_Customers,validFrom,Columna validFrom en tabla DWM_Customers
DWM_Customers,validTo,Columna validTo en tabla DWM_Customers
DWM_Customers,isCurrent,Columna isCurrent en tabla DWM_Customers
DWM_Employees,employeeSCDKey,Columna employeeSCDKey en tabla DWM_Employees
DWM_Employees,employeeID,Columna employeeID en tabla DWM_Employees
DWM_Employees,fullName,Columna fullName en tabla DWM_Employees
DWM_Employees,title,Columna title en tabla DWM_Employees
DWM_Employees,birthDate,Columna birthDate en tabla DWM_Employees
DWM_Employees,hireDate,Columna hireDate en tabla DWM_Employees
DWM_Employees,city,Columna city en tabla DWM_Employees
DWM_Employees,country,Columna country en tabla DWM_Employees
DWM_Employees,territory,Columna territory en tabla DWM_Employees
DWM_Employees,region,Columna region en tabla DWM_Employees
DWM_Employees,notes,Columna notes en tabla DWM_Employees
DWM_Employees,photoPath,Columna photoPath en tabla DWM_Employees
DWM_Employees,uuid,Columna uuid en tabla DWM_Employees
DWM_Employees,validFrom,Columna validFrom en tabla DWM_Employees
DWM_Employees,validTo,Columna validTo en tabla DWM_Employees
DWM_Employees,isCurrent,Columna isCurrent en tabla DWM_Employees
DWM_Products,productSCDKey,Columna productSCDKey en tabla DWM_Products
DWM_Products,productID,Columna productID en tabla DWM_Products
DWM_Products,productName,Columna productName en tabla DWM_Products
DWM_Products,supplier,Columna supplier en tabla DWM_Products
DWM_Products,countryOrigin,Columna countryOrigin en tabla DWM_Products
DWM_Products,categoryName,Columna categoryName en tabla DWM_Products
DWM_Products,quantityPerUnit,Columna quantityPerUnit en tabla DWM_Products
DWM_Products,unitPrice,Columna unitPrice en tabla DWM_Products
DWM_Products,unitsInStock,Columna unitsInStock en tabla DWM_Products
DWM_Products,unitsOnOrder,Columna unitsOnOrder en tabla DWM_Products
DWM_Products,reorderLevel,Columna reorderLevel en tabla DWM_Products
DWM_Products,discontinued,Columna discontinued en tabla DWM_Products
DWM_Products,uuid,Columna uuid en tabla DWM_Products
DWM_Products,validFrom,Columna validFrom en tabla DWM_Products
DWM_Products,validTo,Columna validTo en tabla DWM_Products
DWM_Products,isCurrent,Columna isCurrent en tabla DWM_Products
DWM_WorldData2023,Country,Columna Country en tabla DWM_WorldData2023
DWM_WorldData2023,Density_PKm2,Columna Density_PKm2 en tabla DWM_WorldData2023
DWM_WorldData2023,Abbreviation,Columna Abbreviation en tabla DWM_WorldData2023
DWM_WorldData2023,Agricultural_Land_PCT,Columna Agricultural_Land_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Land_Area_Km2,Columna Land_Area_Km2 en tabla DWM_WorldData2023
DWM_WorldData2023,Armed_Forces_Size,Columna Armed_Forces_Size en tabla DWM_WorldData2023
DWM_WorldData2023,Birth_Rate,Columna Birth_Rate en tabla DWM_WorldData2023
DWM_WorldData2023,Calling_Code,Columna Calling_Code en tabla DWM_WorldData2023
DWM_WorldData2023,Capital_Major_City,Columna Capital_Major_City en tabla DWM_WorldData2023
DWM_WorldData2023,Co2_Emissions,Columna Co2_Emissions en tabla DWM_WorldData2023
DWM_WorldData2023,CPI,Columna CPI en tabla DWM_WorldData2023
DWM_WorldData2023,CPI_Change_PCT,Columna CPI_Change_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Currency_Code,Columna Currency_Code en tabla DWM_WorldData2023
DWM_WorldData2023,Fertility_Rate,Columna Fertility_Rate en tabla DWM_WorldData2023
DWM_WorldData2023,Forested_Area_PCT,Columna Forested_Area_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Gasoline_Price,Columna Gasoline_Price en tabla DWM_WorldData2023
DWM_WorldData2023,GDP,Columna GDP en tabla DWM_WorldData2023
DWM_WorldData2023,Primary_Education_Enrollment_PCT,Columna Primary_Education_Enrollment_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Tertiary_Education_Enrollment_PCT,Columna Tertiary_Education_Enrollment_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Infant_Mortality,Columna Infant_Mortality en tabla DWM_WorldData2023
DWM_WorldData2023,Largest_City,Columna Largest_City en tabla DWM_WorldData2023
DWM_WorldData2023,Life_Expectancy,Columna Life_Expectancy en tabla DWM_WorldData2023
DWM_WorldData2023,Maternal_Mortality_Ratio,Columna Maternal_Mortality_Ratio en tabla DWM_WorldData2023
DWM_WorldData2023,Minimum_Wage,Columna Minimum_Wage en tabla DWM_WorldData2023
DWM_WorldData2023,Official_Language,Columna Official_Language en tabla DWM_WorldData2023
DWM_WorldData2023,Out_of_Pocket_Health_Expenditure,Columna Out_of_Pocket_Health_Expenditure en tabla DWM_WorldData2023
DWM_WorldData2023,Physicians_per_Thousand,Columna Physicians_per_Thousand en tabla DWM_WorldData2023
DWM_WorldData2023,Population,Columna Population en tabla DWM_WorldData2023
DWM_WorldData2023,Labor_Force_Participation_PCT,Columna Labor_Force_Participation_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Tax_Revenue_PCT,Columna Tax_Revenue_PCT en tabla DWM_WorldData2023
DWM_WorldData2023,Total_Tax_Rate,Columna Total_Tax_Rate en tabla DWM_WorldData2023
DWM_WorldData2023,Unemployment_Rate,Columna Unemployment_Rate en tabla DWM_WorldData2023
DWM_WorldData2023,Urban_Population,Columna Urban_Population en tabla DWM_WorldData2023
DWM_WorldData2023,Latitude,Columna Latitude en tabla DWM_WorldData2023
DWM_WorldData2023,Longitude,Columna Longitude en tabla DWM_WorldData2023
DWM_WorldData2023,validFrom,Columna validFrom en tabla DWM_WorldData2023
DWM_WorldData2023,validTo,Columna validTo en tabla DWM_WorldData2023
DWM_WorldData2023,isCurrent,Columna isCurrent en tabla DWM_WorldData2023
DWM_SalesFact,SalesKey,Columna SalesKey en tabla DWM_SalesFact
DWM_SalesFact,orderID,Columna orderID en tabla DWM_SalesFact
DWM_SalesFact,productKey,Columna productKey en tabla DWM_SalesFact
DWM_SalesFact,customerKey,Columna customerKey en tabla DWM_SalesFact
DWM_SalesFact,employeeKey,Columna employeeKey en tabla DWM_SalesFact
DWM_SalesFact,territory,Columna territory en tabla DWM_SalesFact
DWM_SalesFact,orderDateKey,Columna orderDateKey en tabla DWM_SalesFact
DWM_SalesFact,quantity,Columna quantity en tabla DWM_SalesFact
DWM_SalesFact,unitPrice,Columna unitPrice en tabla DWM_SalesFact
DWM_SalesFact,discount,Columna discount en tabla DWM_SalesFact
DWM_SalesFact,freight,Columna freight en tabla DWM_SalesFact
DWM_SalesFact,totalAmount,Columna totalAmount en tabla DWM_SalesFact
DWM_SalesFact,uuid,Columna uuid en tabla DWM_SalesFact
DWM_SalesFact,validFrom,Columna validFrom en tabla DWM_SalesFact
DWM_SalesFact,validTo,Columna validTo en tabla DWM_SalesFact
DWM_SalesFact,isCurrent,Columna isCurrent en tabla DWM_SalesFact
DWM_DeliveriesFact,DeliveryKey,Columna DeliveryKey en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,orderID,Columna orderID en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,customerKey,Columna customerKey en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,employeeKey,Columna employeeKey en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,shipperID,Columna shipperID en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,shippedDateKey,Columna shippedDateKey en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,requiredDateKey,Columna requiredDateKey en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,deliveryDelayDays,Columna deliveryDelayDays en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,freight,Columna freight en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,isDelivered,Columna isDelivered en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,uuid,Columna uuid en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,validFrom,Columna validFrom en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,validTo,Columna validTo en tabla DWM_DeliveriesFact
DWM_DeliveriesFact,isCurrent,Columna isCurrent en tabla DWM_DeliveriesFact
