tableName,columnName,description
STG_Categories,categoryID,Identificador único asociado a la categoría de producto
STG_Categories,categoryName,Nombre asociado a la categoría de producto
STG_Categories,description,Description asociado a la categoría de producto
STG_Categories,picture,Picture asociado a la categoría de producto
STG_Customers,customerID,Identificador único asociado al cliente
STG_Customers,companyName,Nombre asociado al cliente
STG_Customers,contactName,Nombre asociado al cliente
STG_Customers,contactTitle,Título o cargo asociado al cliente
STG_Customers,address,Address asociado al cliente
STG_Customers,city,City asociado al cliente
STG_Customers,region,Region asociado al cliente
STG_Customers,postalCode,Postalcode asociado al cliente
STG_Customers,country,Country asociado al cliente
STG_Customers,phone,Phone asociado al cliente
STG_Customers,fax,Fax asociado al cliente
STG_Customers,uuid,Uuid asociado al cliente
STG_EmployeeTerritories,employeeID,Identificador único asociado al territorio
STG_EmployeeTerritories,territoryID,Identificador único asociado al territorio
STG_Employees,employeeID,Identificador único asociado al empleado
STG_Employees,lastName,Nombre asociado al empleado
STG_Employees,firstName,Nombre asociado al empleado
STG_Employees,title,Title asociado al empleado
STG_Employees,titleOfCourtesy,Titleofcourtesy asociado al empleado
STG_Employees,birthDate,Fecha asociado al empleado
STG_Employees,hireDate,Fecha asociado al empleado
STG_Employees,address,Address asociado al empleado
STG_Employees,city,City asociado al empleado
STG_Employees,region,Region asociado al empleado
STG_Employees,postalCode,Postalcode asociado al empleado
STG_Employees,country,Country asociado al empleado
STG_Employees,homePhone,Teléfono asociado al empleado
STG_Employees,extension,Extension asociado al empleado
STG_Employees,photo,Photo asociado al empleado
STG_Employees,notes,Notes asociado al empleado
STG_Employees,reportsTo,Reportsto asociado al empleado
STG_Employees,photoPath,Photopath asociado al empleado
STG_Employees,uuid,Uuid asociado al empleado
STG_OrderDetails,orderID,Identificador único asociado al detalle del pedido
STG_OrderDetails,productID,Identificador único asociado al detalle del pedido
STG_OrderDetails,unitPrice,Precio asociado al detalle del pedido
STG_OrderDetails,quantity,Quantity asociado al detalle del pedido
STG_OrderDetails,discount,Discount asociado al detalle del pedido
STG_Orders,orderID,Identificador único asociado al pedido
STG_Orders,customerID,Identificador único asociado al pedido
