tableName,columnName,description
TMP_Categories,categoryID,Identificador único asociado a la categoría de producto
TMP_Categories,categoryName,Nombre asociado a la categoría de producto
TMP_Categories,description,Description asociado a la categoría de producto
TMP_Categories,picture,Picture asociado a la categoría de producto
TMP_Customers,customerID,Identificador único asociado al cliente
TMP_Customers,companyName,Nombre asociado al cliente
TMP_Customers,contactName,Nombre asociado al cliente
TMP_Customers,contactTitle,Título o cargo asociado al cliente
TMP_Customers,address,Address asociado al cliente
TMP_Customers,city,City asociado al cliente
TMP_Customers,region,Region asociado al cliente
TMP_Customers,postalCode,Postalcode asociado al cliente
TMP_Customers,country,Country asociado al cliente
TMP_Customers,phone,Phone asociado al cliente
TMP_Customers,fax,Fax asociado al cliente
TMP_Customers,uuid,Uuid asociado al cliente
TMP_EmployeeTerritories,employeeID,Identificador único asociado al territorio
TMP_EmployeeTerritories,territoryID,Identificador único asociado al territorio
TMP_Employees,employeeID,Identificador único asociado al empleado
TMP_Employees,lastName,Nombre asociado al empleado
TMP_Employees,firstName,Nombre asociado al empleado
TMP_Employees,title,Title asociado al empleado
TMP_Employees,titleOfCourtesy,Titleofcourtesy asociado al empleado
TMP_Employees,birthDate,Fecha asociado al empleado
TMP_Employees,hireDate,Fecha asociado al empleado
TMP_Employees,address,Address asociado al empleado
TMP_Employees,city,City asociado al empleado
TMP_Employees,region,Region asociado al empleado
TMP_Employees,postalCode,Postalcode asociado al empleado
TMP_Employees,country,Country asociado al empleado
TMP_Employees,homePhone,Teléfono asociado al empleado
TMP_Employees,extension,Extension asociado al empleado
TMP_Employees,photo,Photo asociado al empleado
TMP_Employees,notes,Notes asociado al empleado
TMP_Employees,reportsTo,Reportsto asociado al empleado
TMP_Employees,photoPath,Photopath asociado al empleado
TMP_Employees,uuid,Uuid asociado al empleado
TMP_OrderDetails,orderID,Identificador único asociado al detalle del pedido
TMP_OrderDetails,productID,Identificador único asociado al detalle del pedido
TMP_OrderDetails,unitPrice,Precio asociado al detalle del pedido
TMP_OrderDetails,quantity,Quantity asociado al detalle del pedido
